Blog	fit	songwriter	size	needed	nature	crowd	bottom	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	era	production	ended	tomorrow	caught	food	evening	obviously	similar	although	camera	meet	including	university	key	http	beats	met	movies	personal	father	fuck	themselves	label	august	zero	acts	chart	entire	hair	excellent	detroit	figure	jazz	cast	focus	store	solo	sonic	questions	nick	meaning	g	april	twitter	theme	score	type	current	date	data	definitions	padding	twin	acoustic	act	imagine	relationship	sex	rose	points	clearly	edition	drum	co	cm	ca	tstyle	cd	moments	kept	minor	december	hall	el	en	ep	recorded	genre	liked	gt	download	click	ben	bed	parker	anyway	vinyl	loud	near	www	language	bowie	audience	field	deluxe	starting	titled	search	throughout	create	understand	bill	excited	per	groove	national	center	buy	several	christmas	ok	melody	smith	fucking	brain	table	k	worked	previous	brought	son	support	awesome	hop	debut	johnny	continue	un	uk	decade	meant	player	interview	inspired	welcome	rhythm	happen	british	floor	rules	wolf	instrumental	history	cave	sounded	win	stories	whose	features	subject	san	mouse	human	character	text	latin	nearly	general	members	para	recording	fans	matt	onto	hearing	plus	copy	unfortunately	ideas	alt	v	expect	hotel	wanna	river	wall	whether	beauty	busy	result	asked	success	tune	slightly	films	beatles	complete	certain	van	elements	produced	included	indie	business	area	aren	building	february	college	singing	becomes	mentioned	coast	overall	orphan	career	began	effect	starts	bar	jones	main	voices	among	collection	mention	bear	alive	metal	ray	cambria	longer	quick	sessions	stream	review	archive	hip	various	became	women	pure	lead	june	golden	service	singer	dave	shadow	begin	choice	internet	wants	ascii	series	november	followed	land	process	length	jam	web	electronic	amount	musical	peel	non	vocals	america	verse	using	beyond	station	feels	culture	chris	popular	michael	ryan	tunes	widow	hits	parts	north	likely	recordings	fantastic	seven	somehow	round	visit	drummer	images	sitting	facebook	absolutely	epic	planet	access	despite	que	brother	october	saturday	news	level	featuring	musicians	folk	feat	bought	perhaps	difficult	straight	episode	possible	possibly	unique	team	spot	industry	image	content	section	pick	action	archives	information	w	session	synth	recent	link	led	lee	standing	doubt	sister	hansi	thoughts	dr	indeed	entirely	okay	mostly	ground	concert	media	site	fully	bass	towards	seeing	himself	classic	shit	digital	effort	question	margin	totally	drums	material	include	pay	spend	giving	enjoyed	pagination	lo	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	joe	events	easily	september	added	recently	pt	due	pm	mountain	built	steve	particularly	january	guitarist	example	desire	brilliant	large	magic	system	listened	ghost	total	south	loved	brothers	certainly	presented	usually	truly	cannot	los	issue	wonderful	damn	noise	perfectly	jeff	immediately	peter	phone	important	f	apparently	mid	mix	add	jack	plenty	approach	games	quickly	gig	based	happened	gives	releases	ya	missed	underground	birthday	remix	july	piano	mike	present	boston	season	punk	bandcamp	via	soundtrack	major	vocal	familiar	lucky	eventually	guitars	title	heaven	event	albums	plays	control	quality	playlist	broadcast	definitely	lyrics	lake	theatre	normal	parent	particular	dj	dad	dan	soft	created	venue	changed	changes	driving	earlier	font	closer	simply
funky little demons	1	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	1	0	2	1	0	0	0	4	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	2	1	2	0	0	1	1	0	0	0	0	1	0	0	2	0	6	0	1	1	1	0	0	0	1	2	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	2	0	2	0	1	2	1	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	1	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	2	1	1	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	2	0	4	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	2	0	0	4	0	0	0	0	0	3	0	1	0	1	0	0	0	0	1	2	0	2	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
Eli Jace | The Mind Is A Terrible Thing To Paste	6	4	1	4	6	47	6	2	8	6	2	4	5	5	3	5	21	11	1	4	1	14	9	13	1	6	5	6	1	5	0	4	5	7	4	46	35	20	2	0	13	5	12	11	2	13	1	7	1	8	22	5	4	4	0	6	7	0	23	14	3	10	5	1	13	3	2	2	5	14	3	0	0	1	4	18	21	8	7	3	7	4	11	0	38	5	0	0	0	1	8	19	1	4	5	12	0	18	14	3	1	0	5	1	4	3	0	1	3	1	10	3	2	13	36	7	5	8	20	2	20	11	7	5	1	1	26	2	19	1	1	1	3	4	4	4	15	2	2	11	17	12	4	5	1	17	28	11	11	0	6	11	8	13	10	1	4	11	4	2	10	1	3	4	13	28	4	8	9	4	2	5	4	8	8	6	2	0	12	5	15	0	15	16	8	22	6	6	2	6	3	1	8	3	1	12	11	12	2	3	6	0	11	5	8	4	0	3	9	6	3	2	3	1	6	10	10	2	0	7	5	13	5	3	2	1	0	15	14	3	15	9	14	16	6	8	14	1	1	5	29	4	0	5	20	6	6	58	0	15	6	7	6	17	12	11	8	2	26	3	12	1	2	12	14	0	13	5	5	4	3	16	8	3	6	1	19	0	5	38	14	9	8	15	5	12	4	8	7	9	15	2	0	13	3	7	1	5	0	12	8	4	2	16	15	9	1	2	0	2	1	2	0	4	9	13	6	6	5	14	10	0	1	0	6	21	1	2	3	2	26	7	1	7	2	9	7	2	0	3	3	4	3	12	1	4	4	11	6	2	0	9	4	2	1	3	25	11	8	2	3	4	60	2	8	24	23	13	10	3	6	1	2	37	5	0	3	3	6	0	0	6	0	1	0	0	15	36	14	9	0	4	0	4	12	9	13	5	2	3	17	10	11	7	0	9	10	2	5	1	11	9	1	6	11	15	7	3	1	2	4	3	7	3	6	0	1	6	31	8	6	7	3	3	6	2	3	10	13	3	8	9	1	4	9	3	9	6	10	12	3	2	7	6	0	9	32	8	6	31	22	31	9	0	8	8	4	4	7	10	24	21	6	6	29	22	7	2	0	1	6	21	4	11	5	0	1	2	0	0	12	5	3	8	2	10	5	0	7	5
My Name Is Blue Canary	12	1	2	40	1	105	3	12	0	1	5	11	5	14	3	0	5	3	1	1	4	8	3	25	6	14	10	17	1	4	0	47	9	18	0	9	12	11	12	1	21	1	8	19	8	2	18	8	0	20	6	17	9	20	1	0	1	18	45	0	12	2	3	2	13	7	16	1	6	3	6	0	1	0	0	12	7	7	1	1	12	2	19	0	76	1	0	1	0	9	13	24	4	5	19	0	2	0	14	3	19	0	2	1	1	1	0	26	14	19	21	15	1	0	79	0	0	17	0	2	8	4	19	2	28	1	1	4	8	11	31	6	2	8	0	8	13	8	21	12	28	22	7	3	32	0	2	34	7	0	0	0	20	12	4	0	8	17	12	0	22	5	14	7	5	2	32	6	7	5	7	2	2	2	24	3	4	1	22	4	30	0	21	38	0	9	28	11	10	11	1	0	0	8	13	0	0	9	18	1	4	5	89	3	15	22	0	4	14	5	1	4	1	15	1	14	9	11	9	18	1	23	1	19	3	1	0	3	12	22	7	17	0	7	5	11	3	12	1	13	13	1	0	24	1	1	1	3	0	2	6	7	4	5	8	3	1	1	3	1	4	12	6	1	5	0	10	9	25	0	1	1	1	0	5	10	9	0	4	14	0	17	13	3	1	7	3	4	7	1	7	3	0	3	19	2	4	4	11	5	3	16	7	13	0	30	2	16	15	30	2	14	0	0	13	1	6	14	5	2	3	0	4	12	5	26	3	5	11	11	12	30	1	5	1	13	17	6	0	1	3	0	1	6	1	8	0	49	4	0	0	5	15	2	26	14	11	4	17	1	2	2	78	7	12	32	6	17	1	5	18	0	47	17	6	5	9	9	13	15	0	0	0	0	2	0	2	6	2	14	0	10	25	7	4	1	42	14	1	15	1	7	1	0	20	5	3	9	3	3	6	1	3	5	0	9	4	9	2	14	7	16	16	0	6	2	12	61	11	10	1	21	1	20	9	4	32	5	9	11	0	3	2	2	16	9	5	32	2	2	2	12	1	82	0	0	4	13	6	10	5	0	0	5	2	2	13	4	8	37	15	12	2	4	3	9	5	4	2	0	21	56	1	15	6	0	13	8	3	253	1	3	118	14	1	11	9	0	6	3
The Jeopardy of Contentment	6	15	2	5	3	1	1	6	0	1	0	14	0	8	0	5	7	0	0	2	2	4	9	5	8	6	1	3	0	4	48	0	2	1	0	0	0	1	0	2	8	17	12	9	11	8	2	5	0	11	0	6	0	1	1	11	5	3	46	4	1	6	1	2	8	5	6	0	7	1	8	0	0	0	11	8	1	4	1	2	2	4	7	0	1	4	0	2	0	5	3	1	0	5	15	4	0	13	9	11	9	0	6	2	0	2	4	3	2	3	8	0	0	26	1	2	1	17	13	1	6	1	7	6	13	1	3	17	8	6	0	1	10	5	23	7	0	1	0	0	19	6	5	4	8	17	46	10	9	2	3	9	1	0	1	2	1	1	2	5	0	3	5	3	1	11	5	7	2	1	1	3	0	1	1	3	2	1	5	3	7	0	10	12	75	2	15	4	11	6	3	14	2	12	5	0	5	0	2	1	2	1	3	2	7	1	1	0	8	2	11	1	7	5	27	1	13	24	2	6	2	9	0	5	6	4	0	9	0	1	5	35	2	5	2	0	2	8	24	0	13	2	2	6	3	1	15	10	1	19	3	0	3	2	8	12	1	2	13	3	10	0	2	3	1	0	7	9	1	3	2	28	5	1	3	4	13	0	2	35	1	4	1	5	0	4	2	28	7	0	5	10	0	2	3	4	7	2	50	1	3	0	1	5	1	1	2	14	3	5	0	4	0	9	14	34	9	4	1	7	6	2	0	2	4	5	0	3	2	1	2	5	1	0	5	0	10	3	1	0	1	0	3	22	4	0	4	1	12	0	0	3	1	2	0	6	9	1	50	0	4	1	2	9	13	1	10	9	9	10	0	0	2	5	2	5	0	0	7	14	0	14	0	16	2	2	3	0	2	3	0	3	1	2	6	15	5	29	0	9	4	16	9	2	3	6	1	2	2	15	2	1	0	17	4	6	1	13	8	20	0	11	5	1	3	1	1	4	1	0	8	13	2	2	7	11	3	2	8	1	0	2	0	1	12	2	9	2	6	4	2	4	1	3	0	8	7	3	4	1	4	13	2	4	2	4	5	12	7	1	3	18	9	2	147	8	4	7	3	0	41	26	4	10	3	5	1	3	5	4	10	0	6	3	3	4	12	0	3	0
Boggle Me Thursday	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
Mystic Chords Of Memory	0	0	0	2	0	0	0	0	0	6	4	0	1	0	0	0	10	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	4	2	1	0	2	2	1	0	0	1	1	0	0	1	0	2	1	9	0	0	1	1	1	0	1	0	3	0	0	2	0	0	0	0	0	0	0	1	1	3	0	0	3	3	0	0	0	4	1	0	130	0	0	0	0	1	0	11	2	0	0	1	0	1	0	0	0	7	2	0	0	0	3	1	0	1	2	77	0	0	0	0	0	0	0	1	1	0	0	0	6	3	0	0	0	1	1	3	0	2	0	1	0	0	1	4	0	0	1	0	2	0	0	0	0	0	0	80	0	6	4	0	0	0	0	3	5	1	6	0	1	0	0	0	0	6	0	3	0	1	0	0	0	0	0	107	2	0	1	0	0	0	0	1	0	3	0	2	14	18	0	0	1	0	0	0	0	9	0	0	0	0	0	8	0	0	0	0	0	1	0	1	0	0	3	95	0	0	0	1	0	0	0	1	0	8	5	0	1	0	0	1	7	12	0	0	1	0	0	0	0	0	1	2	0	2	0	0	4	10	1	0	3	3	1	1	0	3	0	0	6	0	4	0	0	10	0	0	0	0	2	0	0	3	0	0	3	4	2	0	10	0	1	3	1	0	1	0	3	0	1	0	4	0	4	0	1	0	1	2	0	0	0	0	0	0	2	1	2	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	1	1	0	0	3	8	0	0	0	0	2	2	3	6	0	0	6	0	0	1	0	10	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	1	0	0	1	0	0	4	0	0	15	1	0	19	1	5	0	3	0	0	2	0	0	1	8	0	7	0	5	0	5	0	0	0	0	0	23	1	12	4	1	0	2	0	0	2	0	1	0	0	1	0	2	0	0	0	1	1	0	0	0	0	5	0	2	4	0	4	0	1	1	0	1	1	0	3	0	8	0	0	11	0	3	21	10	0	0	0	3	0	0	187	0	0	0	16	0	0	0	0	0	1	0	0	1	1	0	0	0	0	6	0
Mile In Mine	4	4	0	6	12	2	3	5	1	4	9	7	3	6	3	1	2	12	2	3	4	3	4	8	2	2	7	4	4	7	3	4	3	9	9	5	11	7	6	3	2	12	1	11	4	8	3	6	1	9	15	1	3	4	5	3	3	1	2	1	8	3	9	2	13	3	0	1	9	7	5	3	0	0	2	4	5	4	15	4	8	3	3	1	3	5	0	6	0	1	2	4	2	16	12	2	1	5	5	12	7	16	3	1	0	4	0	1	1	2	5	3	8	0	14	3	1	2	3	1	9	13	12	6	2	4	0	1	8	1	11	1	4	2	2	4	8	5	3	4	2	7	19	7	3	8	16	1	5	1	11	2	10	0	5	14	0	1	6	3	1	4	1	1	4	0	0	3	19	9	12	8	9	1	10	21	2	0	3	4	9	0	4	4	0	5	4	5	0	1	4	3	2	11	3	1	6	4	5	5	4	4	11	2	1	2	3	2	10	3	0	16	8	3	12	4	5	2	8	5	6	2	7	3	1	6	2	1	2	4	7	5	2	12	2	7	9	4	2	5	1	1	0	4	5	0	4	5	0	8	4	7	36	2	5	2	1	1	13	4	2	5	3	1	5	0	15	19	1	6	5	10	2	4	6	4	5	0	3	10	9	0	4	5	1	10	9	5	4	7	2	0	2	1	2	12	5	1	2	1	4	1	156	2	3	2	4	8	1	2	0	3	0	9	1	10	19	8	3	12	12	1	2	9	5	9	1	4	3	8	5	5	6	2	16	0	1	13	0	13	4	3	4	13	2	5	0	0	6	6	0	6	2	1	9	2	4	1	4	15	3	2	3	1	4	11	2	9	8	4	3	0	6	4	3	7	2	3	3	2	0	1	16	4	3	7	12	2	2	2	0	1	5	11	2	8	6	13	0	1	20	4	6	1	5	9	0	4	5	5	5	3	1	2	2	1	2	12	7	2	3	0	3	4	3	2	1	7	3	2	1	2	1	2	4	1	5	3	6	2	4	3	2	6	3	0	11	10	3	1	7	4	2	2	2	6	5	0	4	4	13	4	4	13	0	1	11	3	6	6	1	9	0	11	5	5	2	3	0	2	1	1	3	14	4	0	5	9	2	2	2	10	4	2	5	4	1	1	6	5
Deadbeat	7	0	3	8	1	9	2	3	0	1	4	12	10	2	0	4	2	0	0	17	10	2	1	2	0	2	10	11	6	1	30	10	7	2	2	4	1	0	11	1	1	1	4	4	1	15	0	0	0	0	7	5	0	1	0	9	0	0	0	0	15	0	0	6	18	1	3	0	7	2	3	0	0	0	1	0	3	1	0	3	1	1	33	4	2	3	0	0	0	1	3	8	0	11	4	1	2	1	1	0	8	2	0	1	0	6	0	3	2	0	4	5	2	1	8	1	0	7	0	1	2	2	0	9	0	2	0	6	0	14	1	11	6	2	1	5	1	6	4	11	1	11	3	15	0	0	2	0	3	0	13	0	19	1	36	0	2	6	1	4	1	1	0	0	6	0	0	5	4	1	0	1	0	0	3	1	3	0	2	5	3	0	0	1	2	8	1	2	4	1	1	0	1	0	3	2	1	6	3	0	9	3	14	1	5	0	2	0	7	3	3	1	7	1	1	6	2	0	3	24	2	9	2	9	0	0	0	4	0	3	2	37	2	2	5	1	7	2	2	3	0	0	0	9	6	0	0	36	0	0	0	10	5	2	1	10	1	8	3	7	1	1	3	2	2	0	1	9	9	2	2	0	5	1	2	2	2	4	1	1	1	0	4	0	4	1	0	1	3	1	0	0	0	5	1	7	5	0	4	0	4	5	3	3	2	7	2	3	0	6	3	7	0	5	11	12	6	3	0	1	0	1	5	1	3	9	0	2	0	1	3	2	8	3	1	2	2	5	3	3	2	2	0	1	5	4	0	2	4	2	0	1	1	6	0	0	0	8	0	2	0	0	5	3	1	4	3	10	1	0	7	0	0	3	1	4	9	4	6	5	0	0	0	3	0	2	0	6	6	0	0	1	4	1	2	9	1	5	0	0	8	0	2	1	1	5	2	3	1	7	3	2	5	1	0	1	6	6	0	11	0	4	0	0	2	197	1	0	1	0	0	1	2	1	3	1	2	5	0	3	1	1	1	2	2	51	5	3	1	0	3	6	1	9	0	16	0	1	7	0	2	4	0	3	1	0	1	1	5	2	1	0	0	2	4	1	8	4	0	1	4	0	0	3	0	0	1	4	2	0	2	2	16	7	0	2	9	0	4	10
.	15	29	2	7	5	22	10	10	2	22	20	21	6	35	3	41	73	8	1	30	6	22	53	14	26	10	18	29	7	26	53	3	4	68	7	20	4	12	15	0	21	15	16	21	103	18	8	64	1	51	12	28	4	6	12	7	16	10	55	41	10	9	9	22	31	5	4	6	2	19	46	2	0	0	9	33	192	25	10	2	2	8	6	80	40	41	14	42	0	45	37	3	5	9	16	2	6	277	88	17	5	6	126	55	8	13	4	14	111	14	18	1	2	1	14	16	8	11	100	1	16	18	13	36	23	3	26	16	10	77	10	6	8	34	3	6	8	4	19	17	36	18	2	27	20	13	145	53	14	5	37	22	5	55	28	30	8	39	10	7	12	5	3	32	20	1	4	8	4	96	39	5	25	3	10	2	0	0	27	9	37	0	71	80	30	6	18	11	21	6	31	2	0	33	15	4	11	13	16	16	11	13	5	10	184	13	1	4	14	68	1	16	15	23	156	7	20	19	17	18	14	23	9	14	28	16	0	9	14	22	7	22	2	6	13	66	128	17	5	16	6	3	0	10	17	23	170	73	1	3	12	11	7	15	58	33	14	10	21	13	8	12	15	12	6	0	33	8	11	4	31	74	15	10	50	24	24	0	17	129	19	33	10	19	3	45	10	11	10	6	8	105	1	28	32	7	47	33	5	21	16	9	3	45	3	7	109	15	15	3	5	40	0	6	6	32	22	22	25	8	14	4	0	92	7	21	5	28	6	8	7	14	4	5	5	19	8	1	4	12	51	21	47	74	25	25	0	7	20	11	0	10	2	59	20	9	14	9	3	42	11	15	88	4	21	8	90	15	170	14	20	0	15	45	29	20	9	5	11	5	0	19	5	164	16	33	58	23	11	34	0	82	14	3	6	16	9	90	5	43	15	17	16	22	56	7	58	12	2	23	13	32	2	11	9	5	16	4	4	59	10	13	19	4	18	17	7	7	72	11	12	11	7	3	34	17	31	42	33	9	8	25	28	2	24	15	112	21	13	54	4	13	27	11	7	37	28	34	36	241	23	105	184	275	4	17	71	18	10	18	102	70	5	26	31	37	12	19	6	2	24	48	20	3	4	1	21	3	7	11	28	15	12	10	21	15	51	1	26	17
The Ideal Copy	1	1	3	4	1	2	0	1	0	1	0	6	0	3	2	0	0	2	0	1	1	2	7	8	5	3	3	3	1	3	19	10	6	13	2	2	23	2	3	4	2	1	0	3	5	0	0	2	2	5	1	3	2	2	2	0	0	7	7	1	2	4	1	8	10	0	1	0	4	2	5	2	0	0	2	0	2	1	1	0	191	0	1	3	1	5	0	1	0	7	4	5	2	5	2	0	1	4	9	5	3	14	3	6	1	1	1	9	4	6	6	14	0	0	5	1	0	9	1	1	2	6	1	2	2	3	0	22	8	4	4	19	4	3	0	0	2	3	1	5	9	3	4	8	6	0	4	0	3	1	4	0	3	5	0	0	5	0	4	1	0	6	0	2	7	3	0	4	2	0	3	0	14	6	0	0	5	1	2	4	11	0	8	5	0	0	2	14	14	7	0	0	2	0	7	0	0	4	0	0	5	4	8	4	1	4	0	1	5	0	1	2	3	6	0	1	5	3	4	7	2	0	2	8	3	1	0	4	1	0	2	3	2	9	0	2	3	2	4	4	2	4	0	1	27	1	4	3	3	1	1	3	0	6	4	7	3	8	3	2	2	2	1	10	1	0	8	10	4	1	1	3	3	5	0	2	7	0	5	5	4	0	10	3	0	1	1	0	2	1	0	0	0	6	3	17	2	2	0	0	1	1	7	4	2	0	1	0	1	0	4	0	0	5	5	7	17	1	4	1	0	0	5	3	3	2	1	3	4	3	0	2	2	1	0	7	9	2	1	7	3	2	2	4	5	4	2	2	1	1	0	5	3	2	2	8	2	1	6	4	9	2	4	2	4	4	3	0	5	1	0	0	3	0	2	6	0	2	3	2	0	0	13	1	2	6	3	30	1	6	0	5	0	0	0	5	5	3	0	14	8	0	4	5	1	1	2	3	0	0	11	2	19	1	1	2	4	3	1	0	1	3	0	0	0	4	1	0	1	0	5	6	2	11	2	3	9	0	1	15	0	1	1	17	4	29	13	7	3	4	0	1	0	9	4	10	2	1	4	0	2	5	0	10	1	5	3	1	4	5	3	6	1	4	20	1	7	4	0	0	9	4	0	0	7	2	0	0	7	11	1	4	0	0	2	11	4	0	2	1
*Sixeyes: by Alan Williamson	1	2	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	1	3	2	0	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	4	1	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1
KiDCHAIR	17	3	0	9	6	2	5	10	0	0	4	13	3	1	1	0	25	5	0	4	4	6	8	9	9	6	4	2	12	13	6	1	4	13	0	5	3	9	12	17	9	3	0	6	1	5	1	1	0	6	10	1	0	16	7	0	1	2	10	6	3	0	3	4	1	0	12	5	6	5	7	0	1	0	4	10	1	10	5	6	0	5	2	3	3	3	0	0	0	2	7	20	0	1	0	0	0	7	3	14	17	4	10	14	2	3	0	23	1	15	4	1	7	1	1	1	0	7	6	0	9	7	10	2	4	1	27	0	2	9	0	18	22	27	2	0	6	4	1	6	13	9	4	5	18	15	13	6	7	0	0	34	3	7	2	2	13	6	10	2	2	1	4	4	10	2	12	9	3	0	2	2	1	10	4	1	1	2	19	5	1	0	2	6	4	0	24	4	1	7	1	4	1	9	1	11	0	8	7	11	8	4	5	1	47	16	2	4	14	8	3	0	9	10	6	2	1	19	3	1	0	22	2	6	0	9	0	3	4	2	12	1	4	4	7	5	8	2	21	10	8	3	0	7	5	0	5	9	0	21	6	11	0	24	10	1	4	3	17	2	2	4	6	4	6	0	7	1	2	2	1	5	10	0	15	2	6	0	10	14	5	8	3	6	8	4	1	9	6	11	0	41	0	11	1	4	3	1	22	7	15	6	3	4	5	6	4	10	41	2	1	12	0	19	1	2	11	1	3	3	13	9	12	15	3	10	2	10	11	10	15	11	1	6	2	8	0	9	0	4	4	1	16	9	16	4	6	2	7	7	0	6	2	9	1	0	8	1	1	2	1	14	28	2	12	9	15	0	5	10	5	2	6	3	4	11	8	1	5	11	0	0	3	5	0	0	1	3	18	4	0	4	3	0	8	1	8	14	1	1	2	1	0	15	4	7	5	14	6	38	3	7	2	14	5	6	0	24	8	6	1	14	24	3	0	0	6	17	3	24	0	8	4	8	4	3	13	6	17	5	9	5	5	6	6	0	5	13	7	5	65	5	0	9	0	5	16	1	3	6	4	22	0	1	27	7	18	1	5	9	15	18	5	4	93	4	2	7	4	0	18	53	5	0	2	3	3	3	14	7	9	2	0	4	0	4	5	0	5	22
